No,대표코드,품명,품번,경면(전면),임가공처
2100,T64-685,Grey,XH5013D,SC,
2101,T50-260,Grey,XH5013D,CS,건창기업
2102,T45-422,Grey,XH5013D,L,건창기업
2103,B46-222,Grey,XH5013D,NS,건창기업
2104,S1-593,Grey,XH5013D,CT,목림
2105,B44-220,Grey,XH5013D,목림273,목림
2106,S40-928,Grey,XH5013D,HM,목림(유사 SM)
2107,S37-911,Grey,XH5013D,VS,청림보드(인터플러스 경면)
2108,U17,Grey,XH5013D,민자,"목림,승은산업,건창기업,제이제이 데코 등"
2109,S35-607,Grey,XH5013D,SJ1,청림보드 (성지라미텍 경면)
2110,T10-2,Grey,XH5013D,DS,목림
2111,S9-609,Grey,XH5013D,CL,목림
2112,S8-600,Grey,XH5013D,FB,목림
2113,S11-284,Grey,XH5013D,PM,"목림, 건창기업"
2114,S37-765,Grey,XH5015U,VS,청림보드(인터플러스 경면)
2115,S16-838,Grey,XH5015U,SM,"승은산업,건창기업(유사 HM)"
2116,S1-833,Grey,XH5015U,CT,목림
2117,T42-802,Grey,XH5015U,LE1,
2118,T8-800,Grey,XH5015U,FB,
2119,T44-797,Grey,XH5015U,목림273,
2120,S35-692,Grey,XH5015U,SJ1,청림보드 (성지라미텍 경면)
2121,T50-255,Grey,XH5015U,CS,건창기업
2122,U18,Grey,XH5015U,민자,"목림,승은산업,건창기업,제이제이 데코 등"
2123,S9-667,Grey,XH5015U,CL,목림
2124,T3-480,Grey,XH5015U,UK,
2125,T45-481,Grey,XH5015U,L,
2126,B40-296,별,별,HM,목림(유사 SM)
2127,A1-66,양면누적지,양면누적지,CT,목림
2128,B37-330,클린터치 시나몬,클린터치 시나몬,VS,청림보드(인터플러스 경면)
2129,B37-329,클린터치 초코,클린터치 초코,VS,청림보드(인터플러스 경면)
2130,B37-328,프린테크 다크 초코,프린테크 다크 초코,VS,청림보드(인터플러스 경면)
